species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3,spec_code,genus,order,temp_min,temp_max,temp_preferred,temp_range,fecundity_max,fecundity_mean,body_shape_i,longevity_wild,oxygen_cons,dev_place,sp_richness,iucn_category,fishbase_name
Menticirrhus littoralis,Sciaenidae,2402500,habitat_coastal,demersal,48.29999924,NA,7736.086232,0.552421971,3.92,Actinopteri,0.222006046,0.222006046,10.48565514,0.0346521,0.419377278,NA,0.067397604,27.56704792,NA,0.067397604,27.56704792,-2,1,4,1: mid/low,1,411,Menticirrhus,Eupercaria/misc,NA,NA,26,NA,NA,NA,fusiform / normal,NA,NA,NA,293,LC,Gulf kingcroaker
Menticirrhus saxatilis,Sciaenidae,1627500,habitat_coastal,demersal,46,NA,390.503342,0.497880502,3.56,Actinopteri,0.32,0.32,0.77,0.049784973,0.419377278,NA,0.059252168,28.16529082,NA,0.059252168,28.16529082,-2,1,4,1: mid/low,1,410,Menticirrhus,Eupercaria/misc,NA,NA,25,NA,NA,NA,fusiform / normal,4,NA,planktonic,293,LC,Northern kingfish
Merlangius merlangus,Gadidae,2155000,migratory,benthopelagic,91.5,NA,283963.7216,0.396282595,4.36,Actinopteri,0.048,0.048,25.84512199,0.015758747,0.25,NA,0.07895201,30.74615028,NA,0.07895201,30.74615028,-2,2,2,2: low/mid,2,29,Merlangius,Gadiformes,NA,NA,11,NA,358035.3333333333,284603.4666666667,fusiform / normal,20,NA,planktonic,22,LC,Whiting
Merluccius albidus,Merlucciidae,1745000,pelagic,bathydemersal,40.59999847,NA,93.99764124,0.365328316,3.43,Actinopteri,0.218337659,0.218337659,69.37218463,0.029410133,0.419377278,NA,0.056058997,35.71869356,NA,0.056058997,35.71869356,-2,2,2,2: low/mid,2,1080,Merluccius,Gadiformes,NA,NA,22,NA,NA,NA,fusiform / normal,NA,NA,NA,17,LC,Offshore silver hake
Merluccius australis,Merlucciidae,1232500,migratory,benthopelagic,155,NA,458081.8423,0.056425285,4.434955491,Actinopteri,0.048,0.048,91382,0.014020895,5.695840588,NA,0.183540499,56.26501974,NA,0.183540499,56.26501974,-1,2,2,2: low/mid,2,322,Merluccius,Gadiformes,NA,NA,9,NA,NA,NA,elongated,30,NA,NA,17,NA,Southern hake
Merluccius bilinearis,Merlucciidae,925000,migratory,demersal,76,NA,492540.1862,0.154190389,4.49,Actinopteri,0.048,0.048,126.7550727,0.017030769,0.390708752,NA,0.072367479,39.3400835,NA,0.072367479,39.3400835,-2,2,2,2: low/mid,2,323,Merluccius,Gadiformes,NA,NA,7,NA,700000,NA,elongated,12,NA,planktonic,17,NT,Silver hake
Merluccius capensis,Merlucciidae,535000,migratory,bathydemersal,140,NA,5521057.483,0.137980456,3.902624496,Actinopteri,0.040637322,0.040637322,69.37218463,0.0034,1.687361105,NA,0.171831982,69.73397761,NA,0.171831982,69.73397761,-1,3,8,3: mid/high,3,1828,Merluccius,Gadiformes,NA,NA,17,NA,NA,NA,elongated,NA,NA,NA,17,LC,Shallow-water Cape hake
Merluccius hubbsi,Merlucciidae,1412500,migratory,benthopelagic,95,NA,4226135.199,0.227029036,4.229494405,Actinopteri,0.04451615,0.04451615,4.17,0.014020895,0.145837,NA,0.065453045,45.42632497,NA,0.065453045,45.42632497,-2,2,2,2: low/mid,2,325,Merluccius,Gadiformes,NA,NA,12,NA,28620,NA,elongated,6,NA,NA,17,NA,Argentine hake
Merluccius merluccius,Merlucciidae,2487500,habitat_deep,demersal,140,NA,185465.2204,0.310269594,4.42,Actinopteri,0.048,0.048,359.0771463,0.014020895,7.78,NA,0.189661969,34.48362057,NA,0.189661969,34.48362057,-1,2,2,2: low/mid,2,30,Merluccius,Gadiformes,NA,NA,19,NA,2277902.052631579,1415628.1439628482,elongated,20,NA,planktonic,17,LC,European hake
Merluccius polli,Merlucciidae,630000,habitat_deep,bathydemersal,80,NA,13025.87948,0.234269326,4.481651192,Actinopteri,0.04451615,0.04451615,9.398965353,0.014020895,0.25,NA,0.069414081,32.92391413,NA,0.069414081,32.92391413,-2,2,2,2: low/mid,2,327,Merluccius,Gadiformes,NA,NA,25,NA,NA,NA,elongated,NA,NA,NA,17,LC,Benguela hake
Merluccius productus,Merlucciidae,960000,migratory,pelagic-neritic,91,NA,7061680.778,0.12010337,4.35,Actinopteri,0.04451615,0.04451615,42.10249306,0.014020895,0.25,NA,0.0622539,90.33298378,88,0.0622539,88,-2,3,8,3: mid/high,3,326,Merluccius,Gadiformes,NA,NA,14,NA,498000,277250,elongated,16,NA,planktonic,17,LC,North Pacific hake
Merluccius senegalensis,Merlucciidae,47500,migratory,demersal,81,NA,301939.4071,0.196314064,4.481651192,Actinopteri,0.003297,0.003297,17.69213122,6.45e-6,0.145837,NA,0.011692714,29.48063558,NA,0.011692714,29.48063558,-2,1,4,1: mid/low,1,321,Merluccius,Gadiformes,NA,NA,20,NA,NA,NA,elongated,NA,NA,NA,17,EN,Senegalese hake
Meuschenia scaber,Monacanthidae,1115000,habitat_coastal,demersal,31,NA,1370.926443,1.031915321,3.11,Actinopteri,0.020686774,0.020686774,1.207703124,8.13e-6,0.32,NA,0.010421266,37.05345758,NA,0.010421266,37.05345758,-2,2,2,2: low/mid,2,13139,Meuschenia,Tetraodontiformes,NA,NA,15,NA,NA,NA,short and / or deep,NA,NA,NA,108,LC,Velvet leatherjacket
Microgadus tomcod,Gadidae,632500,habitat_coastal,demersal,38.09999847,NA,1410.13149,0.46107757,3.837250514,Actinopteri,0.3026,0.3026,4.17,0.025016,0.419377278,NA,0.046911031,28.13631943,NA,0.046911031,28.13631943,-2,1,4,1: mid/low,1,316,Microgadus,Gadiformes,NA,NA,7,NA,NA,NA,elongated,NA,NA,NA,22,LC,Atlantic tomcod
Micromesistius australis,Gadidae,1522500,migratory,benthopelagic,90,NA,1601295.203,0.138834909,3.398310921,Actinopteri,0.04451615,0.04451615,69.37218463,0.025016,0.524649642,NA,0.068371061,59.17493886,NA,0.068371061,59.17493886,-2,2,2,2: low/mid,2,320,Micromesistius,Gadiformes,NA,NA,9,NA,479450,354423.3333333333,elongated,30,NA,NA,22,NA,Southern blue whiting
Micromesistius poutassou,Gadidae,11370000,migratory,bathypelagic,55.5,NA,2238132.139,0.264956898,4.13,Actinopteri,0.04451615,0.04451615,39.83,0.007726488,5.953570357,NA,0.128679801,36.73270658,7.75,0.128679801,7.75,-1,1,4,1: mid/low,1,31,Micromesistius,Gadiformes,NA,NA,14,NA,118600,76800,elongated,20,NA,planktonic,22,LC,Blue whiting
Micropogonias furnieri,Sciaenidae,2195000,habitat_coastal,demersal,60,NA,227203.5195,0.541310594,3.09,Actinopteri,0.222006046,0.222006046,5.523838677,0.025016,0.77,NA,0.074223515,36.18331935,NA,0.074223515,36.18331935,-2,2,2,2: low/mid,2,7620,Micropogonias,Eupercaria/misc,NA,NA,22,NA,7300000,4925000,short and / or deep,7,NA,NA,293,LC,Whitemouth croaker
Micropogonias undulatus,Sciaenidae,2317500,habitat_coastal,demersal,55,NA,44582.67097,0.873782776,4.014694179,Actinopteri,0.025016,0.025016,69.37218463,0.003804817,0.469069439,NA,0.084485641,37.65907527,NA,0.084485641,37.65907527,-2,2,2,2: low/mid,2,408,Micropogonias,Eupercaria/misc,NA,NA,25,NA,NA,NA,fusiform / normal,5,869.40002,planktonic,293,LC,Atlantic croaker
Microstomus kitt,Pleuronectidae,1532500,habitat_benthic,demersal,65,NA,286647.3621,0.12105525,3.276902098,Actinopteri,0.04451615,0.04451615,8.5,0.017712,0.469069439,NA,0.057167102,63.98545434,NA,0.057167102,63.98545434,-2,3,8,3: mid/high,3,1382,Microstomus,Pleuronectiformes,NA,NA,4,NA,355148,220051,short and / or deep,23,90.71833333333333,planktonic,62,LC,Lemon sole
Microstomus pacificus,Pleuronectidae,1172500,habitat_benthic,demersal,76,NA,565172.0037,0.089528983,3.22,Actinopteri,0.040637322,0.040637322,8.5,0.017712,0.364,NA,0.049645653,66.9880345,NA,0.049645653,66.9880345,-2,3,8,3: mid/high,3,4247,Microstomus,Pleuronectiformes,NA,NA,9,NA,221015.33333333334,137132.33333333334,short and / or deep,56,NA,planktonic,62,LC,Dover sole
Miichthys miiuy,Sciaenidae,870000,habitat_coastal,demersal,70,NA,254347.1254,0.562138124,3.547737166,Actinopteri,0.145837,0.145837,5.523838677,0.025016,0.419377278,NA,0.07770412,35.67409912,NA,0.07770412,35.67409912,-2,2,2,2: low/mid,2,4569,Miichthys,Eupercaria/misc,NA,NA,22,NA,NA,NA,fusiform / normal,NA,NA,planktonic,293,DD,Mi-iuy croaker
Molva dypterygia,Lotidae,2642500,habitat_benthic,demersal,155,NA,190950.5942,0.12236097,4.49,Actinopteri,0.04451615,0.04451615,28773,0.003297,0.764606108,NA,0.165784608,54.109158,NA,0.165784608,54.109158,-1,2,2,2: low/mid,2,1383,Molva,Gadiformes,NA,NA,5,NA,NA,NA,elongated,20,NA,NA,5,VU,Blue ling
Molva molva,Lotidae,1615000,habitat_benthic,demersal,200,NA,1109512.435,0.111647026,4.4,Actinopteri,0.040637322,0.040637322,126.7550727,0.0017922,0.75925,NA,0.167673313,57.46982067,NA,0.167673313,57.46982067,-1,2,2,2: low/mid,2,33,Molva,Gadiformes,NA,NA,14,NA,60000000,50000000,elongated,25,NA,planktonic,5,LC,Ling
Monotaxis grandoculis,Lethrinidae,11135000,habitat_reef,reef-associated,60,NA,113.7729425,0.551484374,3.37,Actinopteri,0.060991803,0.060991803,23.36565604,0.020686774,0.568260947,NA,0.125381637,30.82227147,33.3,0.125381637,33.3,-1,2,2,2: low/mid,2,1869,Monotaxis,Eupercaria/misc,NA,NA,28,NA,NA,80875,fusiform / normal,NA,NA,NA,42,LC,Humpnose big-eye bream
Mora moro,Moridae,56435000,deep,bathypelagic,80,NA,10677.45905,0.146467431,3.781215672,Actinopteri,5.55,5.55,91382,0.025016,23.22898081,NA,2.422524587,53.38755738,NA,2.422524587,53.38755738,0,2,6,5: mid/mid,5,1734,Mora,Gadiformes,NA,NA,24,NA,NA,NA,fusiform / normal,NA,NA,planktonic,108,LC,Common mora
Morone saxatilis,Moronidae,565000,habitat_coastal,demersal,200,striped bass,27392.2621,0.255328822,4.65,Actinopteri,0.75925,0.75925,69.37218463,0.022602017,7.78,7.78,0.33395968,41.47444718,33,7.78,33,0,2,6,5: mid/mid,5,353,Morone,Eupercaria/misc,8,25,20,17,2806666.6666666665,1451833.3333333333,fusiform / normal,30,359.13948579545456,NA,6,LC,Striped bass
Mugil cephalus,Mugilidae,15862500,habitat_coastal,benthopelagic,100,NA,609274.372,0.277257899,2.595144859,Actinopteri,8.5,8.5,138546.9177,0.027348309,39.83,NA,2.827483984,53.81228278,NA,2.827483984,53.81228278,0,2,6,5: mid/mid,5,785,Mugil,Mugiliformes,8,24,26,16,4064752,2825606.5833333335,fusiform / normal,16,200.32789486842105,planktonic,78,LC,Flathead grey mullet
Mugil curema,Mugilidae,5337500,habitat_coastal,reef-associated,91,NA,5777.702193,0.519755415,2.01,Actinopteri,0.027348309,0.027348309,5.523838677,0.020686774,0.3026,NA,0.073323335,36.11530305,NA,0.073323335,36.11530305,-2,2,2,2: low/mid,2,1086,Mugil,Mugiliformes,NA,NA,NA,NA,723350.5,422150.5,fusiform / normal,NA,289.15,planktonic,78,LC,White mullet
Mugil liza,Mugilidae,2622500,migratory,demersal,80,NA,12098.99119,0.477722143,2.146866126,Actinopteri,0.190553387,0.190553387,69.37218463,0.025016,0.631142013,NA,0.079041174,35.17740677,NA,0.079041174,35.17740677,-2,2,2,2: low/mid,2,1090,Mugil,Mugiliformes,NA,NA,25,NA,NA,NA,fusiform / normal,NA,NA,NA,78,DD,Lebranche mullet
Mulloidichthys flavolineatus,Mullidae,11047500,habitat_reef,reef-associated,43,white goatfish,351.503561,0.798341841,3.84,Actinopteri,0.060991803,0.060991803,42.10249306,0.0013065,0.419377278,0.0054,0.144321781,43.07198643,60.1,0.0054,60.1,-3,3,8,3: mid/high,3,5983,Mulloidichthys,Mulliformes,NA,NA,27,NA,NA,NA,fusiform / normal,NA,NA,planktonic,100,LC,Yellowstripe goatfish
Mullus argentinae,Mullidae,310000,habitat_benthic,demersal,30,NA,600.969623,0.776864557,3.501041464,Actinopteri,8.13e-6,8.13e-6,0.419377278,6.45e-6,0.003297,NA,0.001774567,46.10149566,NA,0.001774567,46.10149566,-3,2,2,2: low/mid,2,14063,Mullus,Mulliformes,NA,NA,19,NA,NA,NA,fusiform / normal,NA,NA,NA,100,NA,Argentine goatfish
Mullus barbatus,Mullidae,727500,habitat_benthic,demersal,38.20000076,NA,3400.603392,0.68,3.14,Actinopteri,0.222006046,0.222006046,0.77,0.021204,0.419377278,NA,0.044009979,43.89714241,NA,0.044009979,43.89714241,-2,2,2,2: low/mid,2,790,Mullus,Mulliformes,NA,NA,18,NA,77500,43430.833333333336,fusiform / normal,NA,NA,planktonic,100,LC,Red mullet
Mullus surmuletus,Mullidae,2882500,habitat_benthic,demersal,40,NA,17341.66403,0.656087269,3.45,Actinopteri,0.3026,0.3026,220.625,0.021891852,0.419377278,NA,0.048731721,42.84954298,30.1,0.048731721,30.1,-2,2,2,2: low/mid,2,1327,Mullus,Mulliformes,NA,NA,19,NA,NA,NA,fusiform / normal,11,NA,planktonic,100,LC,Surmullet
Muraenesox cinereus,Muraenesocidae,6977500,sedentary,demersal,220,NA,4874752.99,0.409229387,4.369581509,Actinopteri,0.419377278,0.419377278,220.625,0.022602017,13.4432686,NA,0.209496848,49.24933984,NA,0.209496848,49.24933984,-1,2,2,2: low/mid,2,298,Muraenesox,Anguilliformes,NA,NA,28,NA,3848,1950.5,fusiform / normal,15,NA,planktonic,15,LC,Daggertooth pike conger
Mycteroperca microlepis,Serranidae,1780000,habitat_reef,reef-associated,145,gag,14127.2321,0.176804061,3.65,Actinopteri,0.020686774,0.020686774,220.625,0.0034,0.105494253,0.0034,0.159989226,39.73844218,43,0.0034,43,-3,2,2,2: low/mid,2,1212,Mycteroperca,Perciformes/Serranoidei,NA,NA,24,NA,2567772.5,1329254.75,fusiform / normal,31,NA,planktonic,101,VU,Gag
Mycteroperca phenax,Serranidae,1627500,habitat_reef,reef-associated,107,NA,154.0661309,0.21559573,4.47,Actinopteri,0.029410133,0.029410133,24.51591858,0.0034,0.083667054,NA,0.062277721,33.5637568,NA,0.062277721,33.5637568,-2,2,2,2: low/mid,2,1213,Mycteroperca,Perciformes/Serranoidei,NA,NA,22,NA,NA,NA,fusiform / normal,21,NA,NA,101,DD,Scamp
Naso unicornis,Acanthuridae,11817500,habitat_reef,reef-associated,70,bluespine unicornfish,2152.086384,0.337334043,2.30563151,Actinopteri,0.027348309,0.027348309,39.83,0.025016,0.275045451,0.027348309,0.133070221,54.18047184,73.9,0.027348309,73.9,-2,3,8,3: mid/high,3,1265,Naso,Acanthuriformes,26,29,28,3,NA,NA,short and / or deep,54.5,NA,planktonic,84,LC,Bluespine unicornfish
Naucrates ductor,Carangidae,23690000,pelagic,reef-associated,70,NA,67.96813996,1.064734154,3.463684903,Actinopteri,5.55,5.55,91382,0.027348309,24.63249455,NA,3.25525027,32.49417099,NA,3.25525027,32.49417099,0,2,6,5: mid/mid,5,998,Naucrates,Carangiformes,NA,NA,NA,NA,NA,NA,fusiform / normal,NA,7350.46,planktonic,148,LC,Pilotfish
Nematalosa nasus,Clupeidae,3562500,habitat_coastal,pelagic-neritic,25.5,NA,1490.27369,1.124180083,2.342988071,Actinopteri,0.020686774,0.020686774,4.477796392,8.13e-6,0.218337659,NA,0.010738147,42.2416669,NA,0.010738147,42.2416669,-2,2,2,2: low/mid,2,1616,Nematalosa,Clupeiformes,NA,NA,25,NA,832129,367657,fusiform / normal,NA,NA,NA,15,LC,Bloch's gizzard shad
Nemipterus japonicus,Nemipteridae,7565000,habitat_benthic,demersal,34,NA,31278.90158,1.261848147,4.126763862,Actinopteri,6.04e-4,6.04e-4,4.17,8.13e-6,0.021204,NA,0.008959973,60.80191858,NA,0.008959973,60.80191858,-3,3,8,3: mid/high,3,4559,Nemipterus,Eupercaria/misc,NA,NA,28,NA,85557,44818,fusiform / normal,8,NA,NA,72,LC,Japanese threadfin bream
Nemipterus virgatus,Nemipteridae,5732500,habitat_benthic,demersal,35,NA,22906.75869,0.957144758,4.005355039,Actinopteri,0.017712,0.017712,4.17,3.6e-4,0.32,NA,0.029162184,50.12843893,NA,0.029162184,50.12843893,-2,2,2,2: low/mid,2,396,Nemipterus,Eupercaria/misc,NA,NA,27,NA,50000,26000,fusiform / normal,NA,NA,planktonic,72,VU,Golden threadfin bream
Normanichthys crockeri,Normanichthyidae,267500,habitat_coastal,demersal,11,NA,260047.4754,0.459478193,2.847301646,Actinopteri,8.13e-6,8.13e-6,3.75,6.45e-6,0.025016,NA,0.002154486,38.20124219,NA,0.002154486,38.20124219,-3,2,2,2: low/mid,2,4313,Normanichthys,Perciformes/Scorpaenoidei,NA,NA,17,NA,NA,NA,fusiform / normal,NA,NA,NA,1,NA,Mote sculpin
Ocyurus chrysurus,Lutjanidae,2962500,habitat_reef,reef-associated,86.30000305,yellowtail snapper,106024.5437,0.47392585,4.03,Actinopteri,0.3026,0.3026,4.290933142,0.022602017,4.17,4.17,0.078803513,31.80770615,30.9,4.17,30.9,0,2,6,5: mid/mid,5,188,Ocyurus,Eupercaria/misc,NA,NA,26,NA,164756,43852,fusiform / normal,14,NA,planktonic,113,DD,Yellowtail snapper
Oncorhynchus gorbuscha,Salmonidae,3357500,migratory,demersal,76,NA,5986072.754,0.491520221,4.49,Actinopteri,0.048,0.048,77.88114116,0.019379506,0.75925,NA,0.080210989,40.92840121,NA,0.080210989,40.92840121,-2,2,2,2: low/mid,2,240,Oncorhynchus,Salmoniformes,NA,21,3,NA,1268.75,1005.075,fusiform / normal,3,1188.09998,non-planktonic,226,NA,Pink salmon
Oncorhynchus keta,Salmonidae,2395000,migratory,benthopelagic,100,NA,1232214.468,0.332235885,3.74,Actinopteri,0.04451615,0.04451615,69.37218463,0.021891852,0.524649642,NA,0.072923746,60.55857144,NA,0.072923746,60.55857144,-2,3,8,3: mid/high,3,241,Oncorhynchus,Salmoniformes,0,23.7000007629395,4,23.7000007629395,3100,2750,fusiform / normal,7,NA,non-planktonic,226,NA,Chum salmon
Oncorhynchus kisutch,Salmonidae,2657500,migratory,pelagic,107.9499969,NA,180864.232,0.52822829,4.182798704,Actinopteri,0.04451615,0.04451615,69.37218463,0.017712,0.524649642,NA,0.083346401,35.21816654,NA,0.083346401,35.21816654,-2,2,2,2: low/mid,2,245,Oncorhynchus,Salmoniformes,0,24.7999992370605,3,24.7999992370605,5528.25,3484.125,fusiform / normal,5,746.6764711764706,non-planktonic,226,NA,Coho salmon
Oncorhynchus masou,Salmonidae,1050000,migratory,benthopelagic,79,NA,11650.48361,0.488,3.641128568,Actinopteri,0.048,0.048,69.37218463,0.020686774,0.419377278,NA,0.073830826,29.12949444,NA,0.073830826,29.12949444,-2,1,4,1: mid/low,1,242,Oncorhynchus,Salmoniformes,NA,NA,6,NA,2925,2070,fusiform / normal,NA,NA,non-planktonic,226,EN,Masu salmon
Oncorhynchus nerka,Salmonidae,1905000,migratory,pelagic-oceanic,84,NA,1750038.608,0.343342144,3.54,Actinopteri,0.190553387,0.190553387,69.37218463,0.029410133,0.75925,NA,0.070056531,50.14816212,NA,0.070056531,50.14816212,-2,2,2,2: low/mid,2,243,Oncorhynchus,Salmoniformes,0,24.8999996185303,3,24.8999996185303,3032,1683,fusiform / normal,8,273.01440806451615,non-planktonic,226,LC,Sockeye salmon
Oncorhynchus tshawytscha,Salmonidae,2962500,migratory,benthopelagic,150,NA,78870.36652,0.491520221,4.4,Actinopteri,0.32,0.32,220.625,0.021204,24.63249455,NA,0.213268639,33.71337676,NA,0.213268639,33.71337676,-1,2,2,2: low/mid,2,244,Oncorhynchus,Salmoniformes,0,24.8999996185303,4,24.8999996185303,9962.57142857143,6604.285714285715,fusiform / normal,9,116.4,non-planktonic,226,NA,Chinook salmon
Ophiodon elongatus,Hexagrammidae,722500,migratory,demersal,152,lingcod,37899.04791,0.142917331,4.53,Actinopteri,0.025016,0.025016,126.7550727,0.0017922,0.75925,0.0017922,0.217176984,44.06271512,NA,0.0017922,44.06271512,-3,2,2,2: low/mid,2,509,Ophiodon,Perciformes/Cottoidei,NA,NA,10,NA,500000,280000,elongated,25,41.566874999999996,planktonic,9,NA,Lingcod
Opisthonema libertate,Clupeidae,520000,habitat_coastal,pelagic-neritic,30,NA,579556.2461,0.701094271,2.978049609,Actinopteri,0.020686774,0.020686774,9.682782451,8.13e-6,0.218337659,NA,0.009638501,44.34066233,NA,0.009638501,44.34066233,-3,2,2,2: low/mid,2,1484,Opisthonema,Clupeiformes,NA,NA,27,NA,57125,NA,elongated,NA,NA,planktonic,15,LC,Pacific thread herring
Opisthonema oglinum,Clupeidae,2765000,habitat_coastal,reef-associated,38,NA,38353.45049,1.026959074,4.5,Actinopteri,0.021204,0.021204,220.625,0.0013065,0.419377278,NA,0.07073682,37.04247057,NA,0.07073682,37.04247057,-2,2,2,2: low/mid,2,1486,Opisthonema,Clupeiformes,NA,NA,25,NA,NA,NA,fusiform / normal,NA,NA,planktonic,15,LC,Atlantic thread herring
Orcynopsis unicolor,Scombridae,2472500,hms,pelagic-neritic,130,NA,3446.15792,0.596518223,4.481651192,Actinopteri,0.048,0.048,220.625,0.004257833,7.78,NA,0.08752966,24.00178033,NA,0.08752966,24.00178033,-2,1,4,1: mid/low,1,108,Orcynopsis,Scombriformes,NA,NA,19,NA,NA,NA,fusiform / normal,NA,NA,planktonic,54,LC,Plain bonito
Osmerus eperlanus,Osmeridae,1180000,habitat_coastal,pelagic-neritic,45,NA,203386.2059,0.094547828,3.51038064,Actinopteri,0.218337659,0.218337659,4.477796392,0.025016,0.364,NA,0.065058884,49.01246602,NA,0.065058884,49.01246602,-2,2,2,2: low/mid,2,1334,Osmerus,Osmeriformes,NA,NA,10,NA,45000,26937.5,elongated,10,NA,planktonic,15,LC,European smelt
Osmerus mordax,Osmeridae,6640000,habitat_coastal,pelagic-oceanic,35.59999847,NA,48591.9841,0.087755132,3,Actinopteri,0.222006046,0.222006046,9.919689167,0.025016,0.469069439,NA,0.04984622,55.81181939,NA,0.04984622,55.81181939,-2,2,2,2: low/mid,2,253,Osmerus,Osmeriformes,6,18.3,2,12.3,55333.333333333336,33986.04166666667,elongated,7,NA,planktonic,15,LC,Rainbow smelt
Otolithes ruber,Sciaenidae,8637500,habitat_coastal,benthopelagic,90,NA,75651.61394,0.865438668,3.6,Actinopteri,0.190553387,0.190553387,69.37218463,0.014020895,0.419377278,NA,0.094707947,40.45348827,NA,0.094707947,40.45348827,-2,2,2,2: low/mid,2,4824,Otolithes,Eupercaria/misc,26,29,27,3,NA,NA,fusiform / normal,5,NA,NA,293,LC,Tigertooth croaker
Pagellus acarne,Sparidae,2185000,habitat_reef,benthopelagic,36,NA,12714.68568,0.47822275400000003,3.81,Actinopteri,0.222006046,0.222006046,0.902079429,0.060991803,0.390708752,NA,0.046940315,28.37731053,NA,0.046940315,28.37731053,-2,1,4,1: mid/low,1,889,Pagellus,Eupercaria/misc,NA,NA,19,NA,503192,275038.9,fusiform / normal,NA,NA,planktonic,162,LC,Axillary seabream
Pagellus bellottii,Sparidae,717500,habitat_reef,demersal,42,NA,22277.50752,0.677967137,3.641128568,Actinopteri,0.222006046,0.222006046,69.37218463,0.021204,0.419377278,NA,0.073427895000000007,31.48790692,NA,0.073427895000000007,31.48790692,-2,2,2,2: low/mid,2,436,Pagellus,Eupercaria/misc,NA,NA,25,NA,406800,233500,fusiform / normal,NA,NA,NA,162,LC,Red pandora
Pagellus bogaraveo,Sparidae,2387500,habitat_reef,benthopelagic,70,NA,14240.12473,0.317996793,4.21,Actinopteri,0.048,0.048,220.625,0.025016,0.275045451,NA,0.065141725,36.75082099,NA,0.065141725,36.75082099,-2,2,2,2: low/mid,2,890,Pagellus,Eupercaria/misc,NA,NA,18,NA,812500,496250,fusiform / normal,15,NA,planktonic,162,NT,Blackspot seabream
Pagellus erythrinus,Sparidae,2127500,habitat_reef,benthopelagic,60,NA,19205.76908,0.467310419,3.48,Actinopteri,0.222006046,0.222006046,4.980503952,0.023778395,0.419377278,NA,0.06974798,28.18406741,NA,0.06974798,28.18406741,-2,1,4,1: mid/low,1,893,Pagellus,Eupercaria/misc,NA,NA,19,NA,180116.66666666666,100781.66666666666,fusiform / normal,NA,NA,NA,162,LC,Common pandora
Pagrus auratus,Sparidae,1832500,habitat_reef,reef-associated,130,silver seabream,308915.0836,0.212995064,3.59,Actinopteri,0.029410133,0.029410133,69.37218463,0.014020895,0.04451615,0.040637322,0.075591735,35.63772344,NA,0.040637322,35.63772344,-2,2,2,2: low/mid,2,6426,Pagrus,Eupercaria/misc,NA,NA,25,NA,1800000,975000,short and / or deep,54,NA,planktonic,162,LC,Silver seabream
Pagrus major,Sparidae,1235000,habitat_reef,demersal,100,NA,27715.41741,0.388831741,4.46,Actinopteri,0.022602017,0.022602017,8.679299057,0.004257833,0.145837,NA,0.077751201,38.11122102,47,0.077751201,47,-2,2,2,2: low/mid,2,445,Pagrus,Eupercaria/misc,NA,NA,NA,NA,4544948,2386972,fusiform / normal,26,676.1949999999999,planktonic,162,LC,Red seabream
Pagrus pagrus,Sparidae,5512500,habitat_reef,benthopelagic,91,red porgy,69501.76973,0.393674465,3.86,Actinopteri,0.3026,0.3026,4.477796392,0.046225266,0.364,0.3026,0.078609492,37.65994697,38,0.3026,38,-1,2,2,2: low/mid,2,1756,Pagrus,Eupercaria/misc,NA,NA,24,NA,488600,268630,fusiform / normal,26,NA,planktonic,162,LC,Red porgy
Pampus argenteus,Stromateidae,7610000,habitat_coastal,benthopelagic,60,NA,220639.9265,0.666219294,3.3,Actinopteri,0.3026,0.3026,69.37218463,0.022602017,0.77,NA,0.088193295,34.60759369,NA,0.088193295,34.60759369,-2,2,2,2: low/mid,2,491,Pampus,Scombriformes,NA,NA,25,NA,147959,44650,short and / or deep,7,NA,planktonic,17,VU,Silver pomfret
Paralabrax humeralis,Serranidae,862500,habitat_benthic,benthopelagic,54.5,NA,36474.70373,0.274989376,4.12,Actinopteri,0.04451615,0.04451615,4.17,0.003348104,0.364,NA,0.05074578,55.5913753,NA,0.05074578,55.5913753,-2,2,2,2: low/mid,2,352,Paralabrax,Perciformes/Serranoidei,NA,NA,26,NA,NA,NA,fusiform / normal,NA,NA,NA,101,DD,Peruvian rock seabass
Paralichthys californicus,Paralichthyidae,375000,habitat_benthic,demersal,152,NA,215.8677611,0.686346119,4.481651192,Actinopteri,0.021204,0.021204,220.625,0.0013065,0.75925,NA,0.05948744,43.34156001,NA,0.05948744,43.34156001,-2,2,2,2: low/mid,2,4228,Paralichthys,Pleuronectiformes,NA,NA,19,NA,27363000,15095250,short and / or deep,30,NA,NA,65,LC,California flounder
Paralichthys dentatus,Paralichthyidae,360000,habitat_benthic,demersal,94,NA,19381.1419,1.335834603,4.49,Actinopteri,0.0034,0.0034,220.625,0.00123027,0.046225266,NA,0.031346557,67.46486722,102.77,0.031346557,102.77,-2,4,9,4: mid/veryhigh,4,1338,Paralichthys,Pleuronectiformes,NA,NA,13,NA,NA,2325500,short and / or deep,9,NA,NA,65,LC,Summer flounder
